account_id,customer_name,segment,industry,contract_value,plan_type,activation_date,renewal_date,account_owner,customer_success_owner,executive_sponsor,key_stakeholder_role,health_status,usage_trend,product_adoption_score,active_users,licensed_users,support_tickets_open,critical_tickets_open,nps_score,last_business_review_date,last_customer_touchpoint_date,stakeholder_change,payment_status,product_gap,expansion_signal,renewal_risk_signal,churn_risk_signal,reference_potential,case_study_potential,next_step,notes
A001,Northstar Analytics,Mid-market,Data tooling,84000,Growth,2025-09-12,2026-06-15,Maya Rao,Ivan Chen,Lena Ortiz,VP Operations,Healthy,growing,88,82,95,1,0,62,2026-03-20,2026-05-03,none,current,none,more seats requested,expansion potential,none,high,high,Schedule expansion discovery with VP Operations,Synthetic account with strong adoption and expansion signal
A002,Beacon Clinic Group,Enterprise,Healthcare,128000,Enterprise,2025-08-04,2026-05-28,Noah Brooks,Amara Hill,Samir Patel,Chief Administrative Officer,Watch,declining,54,41,110,6,1,18,2026-01-18,2026-04-11,buyer changed,current,reporting gap,none,unclear value proof,usage concern,medium,low,Run renewal value proof review,Synthetic high-value account with renewal risk
A003,Atlas Freight Works,Strategic,Logistics,152000,Enterprise,2025-06-21,2026-07-10,Leah Kim,Jordan Miles,Ari Sinha,COO,At risk,declining,47,36,120,8,2,5,2025-12-12,2026-04-02,champion left,current,repeated product gap,none,renewal risk,churn risk,low,none,Founder call with COO and new champion,Synthetic high-value churn risk scenario
A004,Clearwater Finance,Mid-market,Fintech,68000,Professional,2025-11-05,2026-10-30,Dev Patel,Nora Shah,Alicia Reed,Head of Finance,Healthy,stable,79,52,70,2,0,44,2026-04-10,2026-05-01,none,current,minor workflow gap,mild interest,no risk,none,medium,medium,Confirm value proof and monitor renewal,Synthetic stable account to monitor
A005,Juniper Learning,Startup,Education,32000,Team,2026-01-15,2026-12-20,Owen Stone,Tara Iyer,,Director of Learning,Watch,spiky,61,18,45,3,0,32,2026-02-20,2026-04-30,new champion,current,none,new team interested,no risk,watch,medium,medium,Map new department use case,Synthetic expansion candidate with new champion
A006,Halcyon Robotics,Enterprise,Manufacturing,96000,Enterprise,2025-07-30,2026-06-05,Mina Park,Chris Nolan,Elena Cruz,VP Manufacturing,Critical,inactive,22,12,80,9,3,-12,2025-11-08,2026-03-19,executive sponsor left,overdue,critical missing feature,none,churn risk,cancellation threat,none,none,Founder intervention and save plan,Synthetic critical retention risk
A007,Summit Legal Ops,Mid-market,Legal services,54000,Professional,2025-10-02,2026-09-15,Ravi Menon,Priya Desai,Kim Foster,Managing Partner,Healthy,growing,84,36,42,0,0,58,2026-04-18,2026-05-06,none,current,none,product-led expansion signal,expansion potential,none,high,medium,Confirm expansion trigger and proof angle,Synthetic healthy customer with product-led expansion
A008,Evergreen Energy Labs,Strategic,Energy,175000,Enterprise,2025-05-18,2026-08-01,Grace Lee,Omar Nasser,Shubham Singh,Chief Digital Officer,Watch,stable,72,64,125,5,1,21,2026-02-05,2026-04-24,procurement changed,invoice pending,integration gap,champion asks roadmap,watch,watch,medium,low,Product and procurement alignment call,Synthetic strategic account with mixed signals
A009,Quartz Retail Systems,Mid-market,Retail,47000,Professional,2025-12-12,2026-06-25,Dylan Fox,Anika Mehta,Olivia Ray,VP Revenue,At risk,low,43,20,60,4,0,8,2026-01-22,2026-04-01,none,current,none,none,unclear value proof,usage concern,low,none,Run adoption recovery plan,Synthetic low adoption despite activation
A010,Redwood BioWorks,Enterprise,Biotech,118000,Enterprise,2025-09-25,2026-11-15,Mei Lin,Arjun Sethi,Rachel Adams,Head of Clinical Ops,Healthy,growing,91,76,82,1,0,71,2026-04-12,2026-05-05,none,current,none,upsell requested,expansion potential,none,high,high,Prepare upgrade proposal with value proof,Synthetic champion and case study potential
A011,Harbor HR Cloud,Startup,HR software,29000,Team,2026-02-01,2027-01-31,Sofia Grant,Neil Kapoor,,Head of People,Watch,stable,67,16,30,1,0,39,2026-03-14,2026-04-26,none,current,admin workflow gap,none,no risk,none,medium,low,Review admin workflow feedback,Synthetic customer to monitor only
A012,Silverline Insurance,Enterprise,Insurance,142000,Enterprise,2025-04-10,2026-05-20,Isabel Torres,Marcus King,Samir Patel,SVP Claims,At risk,declining,49,45,140,7,2,2,2025-12-15,2026-04-05,buyer changed,delayed,compliance blocker,none,renewal risk,competitive evaluation,none,none,Executive renewal save plan,Synthetic high-value renewal risk near deadline
A013,BluePeak Manufacturing,Mid-market,Manufacturing,62000,Professional,2025-08-28,2026-07-22,Ethan Price,Farah Khan,Henry Wu,Plant Operations Lead,Healthy,stable,82,54,66,2,0,46,2026-03-30,2026-05-02,none,current,none,usage growth,no risk,none,medium,medium,Confirm second site expansion interest,Synthetic expansion candidate
A014,Acorn Accounting Group,Startup,Professional services,18000,Team,2026-01-24,2026-12-31,Ava Patel,Jon Bell,,Founder,Healthy,stable,74,11,15,0,0,52,2026-04-01,2026-05-07,none,current,none,none,no risk,none,low,low,Monitor account and keep touchpoint current,Synthetic low-risk monitor account
A015,Cedar Security,Enterprise,Cybersecurity,134000,Enterprise,2025-07-02,2026-08-18,Liam Carter,Nadia Singh,Elena Cruz,CISO,Watch,growing,77,88,160,10,1,16,2026-03-10,2026-04-28,none,current,data export gap,more seats requested,watch,watch,medium,medium,Resolve support load before expansion,Synthetic high usage but support friction
A016,Marigold Marketplace,Mid-market,Ecommerce,71000,Professional,2025-11-18,2026-06-18,Chloe Ward,Sam Lee,Alicia Reed,Head of Marketplace Ops,At risk,declining,58,31,70,3,0,12,2026-01-30,2026-04-12,new evaluator,current,none,none,unclear value proof,usage concern,low,none,Run value proof review before renewal,Synthetic renewal value proof risk
A017,Pioneer Data Co,Strategic,Data services,165000,Enterprise,2025-06-09,2026-10-10,Nina Shah,Vikram Rao,Ari Sinha,Chief Data Officer,Healthy,expanding,93,120,130,2,0,69,2026-04-22,2026-05-04,none,current,none,upsell requested,expansion potential,none,high,high,Founder review of expansion path,Synthetic strategic expansion-ready account
A018,Riverbend Logistics,Mid-market,Logistics,52000,Professional,2025-12-04,2026-09-01,Leo Martin,Isha Jain,,Director of Fleet Ops,Watch,flat,64,35,72,0,0,28,2026-01-05,2026-04-14,none,current,mobile gap,none,watch,watch,low,low,Schedule business review and mobile gap discussion,Synthetic stale business review with product friction
A019,Orchid Payments,Enterprise,Payments,121000,Enterprise,2025-08-16,2026-05-25,Henry Wu,Rina Joseph,Samir Patel,VP Risk,At risk,stable,62,60,115,4,1,6,2026-02-01,2026-04-20,none,unpaid,reporting gap,none,budget concern,budget concern,low,none,Resolve unpaid invoice and renewal plan,Synthetic unpaid invoice near renewal
A020,Maple Support Cloud,Startup,Customer support,26000,Team,2026-02-14,2027-02-14,Ella Brooks,Aria Patel,,Head of Support,Healthy,growing,86,24,28,1,0,64,2026-04-25,2026-05-06,none,current,none,more seats requested,expansion potential,none,high,medium,Ask for reference after expansion discovery,Synthetic strong champion and proof opportunity
A021,Terrace Construction Tech,Mid-market,Construction,59000,Professional,2025-09-01,2026-07-05,Ryan Clark,Kavya Nair,Olivia Ray,VP Field Ops,At risk,low,39,19,75,6,1,-4,2025-12-28,2026-04-09,champion left,current,mobile gap,none,renewal risk,usage concern,none,none,Rebuild stakeholder map and adoption plan,Synthetic stakeholder change and low adoption
A022,Helio AI Studio,Startup,AI software,41000,Growth,2026-01-07,2026-12-01,Amir Khan,Tess Morgan,,CEO,Healthy,growing,89,44,48,0,0,72,2026-04-16,2026-05-08,none,current,none,product-led expansion signal,expansion potential,none,high,high,Prepare case study ask after value proof,Synthetic AI startup expansion and proof account
A023,Granite Wealth Partners,Enterprise,Financial services,105000,Enterprise,2025-05-30,2026-06-30,Maria Gomez,Peter Nolan,Rachel Adams,COO,Watch,stable,69,58,100,3,0,26,2026-02-15,2026-04-18,procurement changed,current,reporting gap,mild interest,watch,watch,medium,low,Run executive business review,Synthetic executive engagement gap
A024,Willow Health Tech,Mid-market,Healthcare,76000,Professional,2025-10-18,2026-10-01,Aaron Mills,Meera Joshi,Lena Ortiz,Director of Patient Ops,Healthy,stable,81,46,52,1,0,55,2026-04-09,2026-05-02,none,current,none,usage growth,no risk,none,high,medium,Confirm measurable outcomes for reference,Synthetic reference-ready customer
A025,Stonebridge Procurement,Enterprise,Procurement,99000,Enterprise,2025-07-15,2026-09-30,Natalie Young,Rohan Mehta,Elena Cruz,VP Procurement,Critical,declining,31,22,105,11,2,-18,2025-11-20,2026-03-30,executive sponsor left,payment failed,repeated product gap,none,churn risk,cancellation threat,none,none,Founder save plan with executive sponsor,Synthetic severe churn risk scenario
